rank,name,,code,fl_bg,fl_fg,fl_all,density,runtime,environment,is_cpu,is_multicore,is_gpu
1,ISF,,,5.4,10.29,6.22,100,600,1 core @ 3 Ghz (C/C++),1,,
2,PRSM,,code,5.33,13.4,6.68,100,300,1 core @ 2.5 Ghz (C/C++),1,,
3,OSF+TC,,,5.76,13.31,7.02,100,3000,1 core @ 2.5 Ghz (C/C++),1,,
4,SSF,,,5.63,14.71,7.14,100,300,1 core @ 2.5 Ghz (Matlab + C/C++),1,,
5,OSF 2018,,code,5.38,17.61,7.41,100,390,1 core @ 2.5 Ghz (Matlab + C/C++),1,,
6,OSF,,code,5.62,18.92,7.83,100,3000,1 core @ 2.5 Ghz (C/C++),1,,
7,AugmentedFlowNetDCSS,,,8.36,9.62,8.57,100,0.07,GPU @ 2.5 Ghz (C/C++),,,1
8,DN-FN-CSS-I,,,8.48,9.25,8.6,100,0.25,1 core @ 2.5 Ghz (C/C++),1,,
9,MFF,,,8.95,8.36,8.85,100,0.05,NVIDIA Pascal Titan X (Python),,,1
10,LiteFlowNet,,code,9.66,7.99,9.38,100,0.09,NVIDIA GTX 1080 (Python + C/C++),,,1
11,PWC-Net,,code,9.66,9.31,9.6,100,0.03,NVIDIA Pascal Titan X,,,1
12,ContinualFlow_ROB,,,8.54,17.48,10.03,100,0.15,GPU - NVidia 1080Ti,,,1
13,MirrorFlow,,code,8.93,17.07,10.29,100,660,4 core @ 2.2 Ghz (C/C++),,1,
14,RIMM-SF,,,9.68,16.18,10.76,100,150,4 cores @ 3.5 Ghz (C/C++),,1,
15,SS-SF,,,8.17,25.2,11,100,180,1 core @ 2.5 Ghz (Matlab + C/C++),1,,
16,SDF,,,8.61,23.01,11.01,100,,1 core @ 2.5 Ghz (C/C++),1,,
17,LFNet_ROB,,,11.18,10.2,11.01,100,0.0985,NVIDIA 1080 (Python + C/C++),,,1
18,UnFlow,,code,10.15,15.93,11.11,100,0.12,GPU @ 1.5 Ghz (Python + C/C++),,,1
19,FSF+MS,,,8.48,25.43,11.3,100,2.7,4 cores @ 3.5 Ghz (C/C++),,1,
20,CNNF+PMBP,,,10.08,18.56,11.49,100,2700,1 cores @ 3.5 Ghz (C/C++),1,,
21,PWC-Net_ROB,,code,11.22,13.69,11.63,100,0.03,NVIDIA Pascal Titan X,,,1
22,SfM-PM,,,9.66,22.73,11.83,100,69,3 cores @ 3.6 Ghz (C/C++),,1,
23,MR-Flow,,code,10.13,22.51,12.19,100,480,1 core @ 2.5 Ghz (Python + C/C++),1,,
24,SceneFFields,,,10.58,24.41,12.88,100,65,4 cores @ 3.7 Ghz (C/C++),,1,
25,CSF,,,10.4,25.78,12.96,100,80,1 core @ 2.5 Ghz (C/C++),1,,
26,PR-Sceneflow,,code,11.73,24.33,13.83,100,150,4 core @ 3.0 Ghz (Matlab + C/C++),,1,
27,AAAI 736,,,13.08,20.4,14.29,100,0.06,GPU @ >3.5 Ghz (Python + C/C++),1,,
28,DCFlow,,code,13.1,23.7,14.86,100,8.6,GPU @ 3.0 Ghz (Matlab + C/C++),1,,
29,ProFlow,,,13.86,20.91,15.04,100,112,GPU+CPU @ 3.6 Ghz (Python + C/C++),,,1
30,FlowFields++,,code,14.82,17.77,15.31,100,29,1 core @ 3.5 Ghz (C/C++),1,,
31,ProFlow_ROB,,,14.15,21.82,15.42,100,112,GPU+CPU @ 3.6 Ghz (Python + C/C++),,,1
32,Deep-EIP,,,13.4,26.51,15.58,100,0.2,GPU @ 2.5 Ghz (Python + C/C++),,,1
33,FF++_ROB,,,15.32,19.27,15.97,100,29,1 core @ 3.5 Ghz (C/C++),1,,
34,SOF,,code,14.63,22.83,15.99,100,360,1 core @ 2.5 Ghz (Matlab),1,,
35,DIP-Flow-DF,,,14.93,23.37,16.33,100,104,2 cores @ 3.6 Ghz (C/C++),,1,
36,JFS,,,15.9,19.31,16.47,100,780,1 core @ 3.2 Ghz (C/C++),1,,
37,DF+OIR,,,15.11,23.45,16.5,100,180,1 core @ 3.5 Ghz (Matlab + C/C++),1,,
38,ResPWCR_ROB,,,16.63,16.18,16.55,100,0.2,1 core @ 2.5 Ghz (Python),1,,
39,SPS+FF++,,code,15.91,20.27,16.64,100,36,1 core @ 3.5 Ghz (C/C++),1,,
40,DIP-Flow-CPM,,,15.57,23.84,16.95,100,52,2 core @ 3.6 Ghz (C/C++),,1,
41,ImpPB+SPCI,,code,17.25,20.44,17.78,100,60,GPU @ 2.5 Ghz (Python),,,1
