Format Version,1.21,Take Name,evo_flight_11,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-07-20 10.57.49 AM,Total Frames in Take,14678,Total Exported Frames,14678,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom,bebop2_tom
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z
0,0.000000,-0.004981,-0.698443,-0.005029,-0.715631,-0.663216,0.062898,-0.517984
1,0.008333,-0.005231,-0.698552,-0.005283,-0.715521,-0.663239,0.062881,-0.518025
2,0.016667,-0.004920,-0.698396,-0.005040,-0.715677,-0.663261,0.062824,-0.517997
3,0.025000,-0.005108,-0.698647,-0.004918,-0.715431,-0.663238,0.062891,-0.517992
4,0.033333,-0.004236,-0.698402,-0.005315,-0.715674,-0.663219,0.062854,-0.518003
5,0.041667,-0.004389,-0.698370,-0.005397,-0.715703,-0.663254,0.062865,-0.518022
6,0.050000,-0.005217,-0.698501,-0.005099,-0.715572,-0.663201,0.062907,-0.517987
7,0.058333,-0.004925,-0.698459,-0.005561,-0.715612,-0.663211,0.062932,-0.517959
8,0.066667,-0.004515,-0.698412,-0.005329,-0.715662,-0.663234,0.062828,-0.518000
9,0.075000,-0.004093,-0.698346,-0.005344,-0.715729,-0.663227,0.062889,-0.517991
10,0.083333,-0.004903,-0.698583,-0.004948,-0.715495,-0.663227,0.062877,-0.518004
11,0.091667,-0.004829,-0.698452,-0.005185,-0.715621,-0.663203,0.062891,-0.518012
12,0.100000,-0.004439,-0.698405,-0.005614,-0.715667,-0.663239,0.062903,-0.518012
13,0.108333,-0.004739,-0.698464,-0.005306,-0.715609,-0.663218,0.062908,-0.517982
14,0.116667,-0.005172,-0.698363,-0.005309,-0.715706,-0.663226,0.062907,-0.517964
15,0.125000,-0.004170,-0.698519,-0.004990,-0.715562,-0.663219,0.062886,-0.518001
16,0.133333,-0.004952,-0.698439,-0.005097,-0.715634,-0.663210,0.062911,-0.517997
